abad,kala,masa,periode,zaman
abadi,awet,baka,kekal,langsung,lestari,tetap
terabaikan,terjerahak,terlupakan,tertinggal
abdi,awak,babu,bayu,beta,bujang,hamba,kuli,negara,pramuwisma
abjad,aksara,huruf,tulisan
abrasi,erosi,pengikisan
abses,barah,bengkak,bisul,infeksi,jerawat,luka,nanah,radang
absolut,habis-habisan,lengkap,mutlak,nyata,pasti,penuh,positif,setia,suci,taat,terang,total
abu,bubuk,debu,serbuk,tepung
abuh,bengkak
acak,rambang
acara,daftar,perhelatan,perkara,pesta,pokok,program,rencana,sistem,susunan,tata
mengacukan,menumpukan
acuan,cermin,cetakan,contoh,ideal,kaca,pola,referensi,rujukan,tuangan
acuh,beku,dingin,hisab,ingat
mengadakan,melahirkan,melangsungkan,memasang,membuahkan,membuatkan,mempersiapkan,mendirikan,mengakibatkan,menjadikan,menubuhkan,menurunkan,menyiapkan,mewujudkan
keberadaan,eksistensi
keadaan,bentuk,cuaca,iklim,kondisi,laksana,letak,masa,peristiwa,posisi,raut,roman,sifat,status,suasana,tanda,tempat,udara
adab,adat,etik,etos,hukum,ideal,kesantunan,kesopanan,kesusilaan,lembaga,menghargai,moral,nilai,resam,sifat
adaptasi,olahan
adat,adab,aturan,budaya,etik,hukum,istiadat,lembaga,nilai,norma,sunah,tradisi
adegan,babak,bagian,putaran
adik,ari,muda
pengadilan,perdata,pidana
administrator,penguasa,pengurus
adopsi,berseberangan,mengangkat
adu,cepat,domba,laga,melawankan,membentrokkan,tabrak,tubruk
beradu,berhadapan,berlaga,bersabung,bersaingan,berseberangan,bertanding,kekuatan,kening
mengadu,memperkarakan,memperlagakan,mempertemukan
mengadukan,melaporkan
peraduan,perlawanan,perlombaan,persaingan
aduan,kontes,laporan,perlawanan,perlombaan,persaingan
pengadu,pelapor
agak,duga,kira,ramal,sedikit,semu
mengagak-agak,memikir-mikir,menerka-nerka,menganggap,mengira-ngira,meramalkan
agama,pegangan,petunjuk,religi
agen,biro,kepetangan,leveransir,penyalur,penyelidik,rahasia,spion,wakil
agregat,massa
agresi,aksi,penyerbuan,serangan
agresif,garang,kasar
agung,akbar,besar,gede,kabir,kudus,super,termasyhur,utama
ahli,agama,anggota,atlet,bahasa,berpengalaman,cakap,filsafat,hukum,ilmu,jago,kadim,kamus,kaum,keluarga,kerabat,kiai,master,nujum,olahraga,pandai,paranormal,pendeta,pendidikan,peserta,pikir,politik,pustakawan,sanak,sarjana,sastra,saudara,sejarah,seni,terampil,tukang,ulama,wakil,warga
mengaibkan,mempermalukan,menistakan
air,banjir,belanda,cairan,hidung,jeruk,keling,kencing,kuas,larutan,mani,minuman,muka,penderasan,perak,roman,selera,semen,seni,suling,terjun,uap
perairan,bahar,danau,kali,laut,sungai,teluk
ajaib,absurd,gaib
ajal,janji,kematian,maut
ajang,gelanggang,medan,tempat
ajar,asuh,didik,hukum,jaga,latih
mengajar,membimbing,menasihati,mendidik,menguliahi
pengajaran,contoh,ibarat,nasihat,peringatan,petunjuk
belajar,bersekolah,memahirkan,membaca,meniru
pelajar,murid,penuntut,praja,siswa
pelajaran,bidang,ilmu,kursus,pengetahuan
terpelajar,akil,sarjana
akad,janji,kontrak,nikah,perjanjian,pernikahan
akal,angkara,bicara,budi,bulus,ikhtiar,ingatan,inisiatif,kebijaksanaan,kecerdikan,manipulasi,muslihat,otak,pikiran,rasio
akar,benih,dasar,inti,jalur,masalah,mula,pangkal,pokok,pusat,serat,sumber,tisu,tulang,tunggang,wangi
susu,akar,tunggang
akhir,ajal,belakang,hayat,kematian,penghujung,penjuru,penutup,pucuk,tahun,tamat,ujung,zaman
mengakhiri,memutuskan,menamatkan,menggulung,menghabisi,menutup,menyelesaikan
mengakibatkan,melahirkan,membangkitkan,membawa,membuahkan,mengundang,menjadikan
akil,berotak,berpikiran,cerdik,pandai,pintar,terpelajar
mengakomodasi,menampung
akreditasi,legalisasi,pengesahan,pengukuhan
aksara,abjad,huruf,karakter
aksentuasi,pemfokusan
akseptor,penerima,peserta
akses,kanal,saluran
aksi,aktivitas,gelagat,gerakan,lagak,laku,langkah,sikap
akta,keterangan,sertifikat,surat
aktif,bekerja,berjalan,berlaku,beroperasi,dinamis,giat,hidup,main,menyala
aktivitas,acara,aksi
aktor,pelaku,pemeran,pesinetron,provokator
mengaktualkan,mewujudkan
akuan,iman,janji,sumpah
akut,berat,biut,gawat,genting,keras,kritis,kronis,parah,payah
alam,angkasa,baka,bidang,bumi,daerah,dunia,habitat,jagat,kawasan,langit,lingkungan,loka,menanggung,mengarungi,menghadapi,meniti,negara,negeri,raya,tempat,zona
pengalaman,kepandaian,pengetahuan
berpengalaman,ahli,cakap,pandai,terampil
alamat,bakat,gejala,gelagat,gerak,isyarat,objek,petunjuk,sasaran,sinyal,tanda,target,tujuan
mengalamatkan,menepatkan
alami,alamiah,wajar
alang,cukup,sedang
alas,akar,asas,bantal,cadar,dasar,galang,introduksi,kata,landas,landasan,lapisan,lunas,pangkal,pendamping,pokok,prinsip,punca,sandaran,tapak,teman,teras,tikar
beralaskan,berasaskan
